#NSGA2
popsize 60
maxGen 50
numVar 7
numObj 2
numCons 1
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 50
currentGen	1
evaluateCount	60
totalTime	249.878
firstFrontCount	5
frontCount	8
avgEvalTime	10.1821
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Obj1	Obj2	Cons1	
55	300	160	2	1	2	5	1e+10	1e+07	-150	
75	337	158	1	1	3	2	1e+10	1e+07	-150	
84	289	143	5	2	4	3	1e+10	1e+07	-150	
56	331	159	5	2	3	3	1e+10	1e+07	-150	
78	291	151	1	1	2	1	1e+10	1e+07	-150	
83	321	140	6	1	3	2	1e+10	1e+07	-150	
81	327	135	3	2	2	4	8.00081e+09	4.0008e+06	-150	
81	296	151	4	2	1	2	6.24714e+09	3.91819e+06	-150	
89	300	147	3	1	1	3	8.43224e+09	4.29222e+06	-150	
80	334	158	4	2	1	3	5.8599e+09	4.20649e+06	-150	
84	295	155	2	1	2	2	1e+10	1e+07	-150	
63	317	145	3	2	2	4	8.01532e+09	4.1579e+06	-150	
87	297	153	5	2	3	1	1e+10	1e+07	-150	
56	311	153	6	1	2	3	1e+10	1e+07	-150	
56	301	135	5	2	2	2	6.6267e+09	3.89738e+06	-150	
76	296	149	4	1	2	1	1e+10	1e+07	-150	
64	335	135	6	1	4	1	1e+10	1e+07	-150	
70	286	158	2	2	4	5	1e+10	1e+07	-150	
58	304	137	6	1	4	2	1e+10	1e+07	-150	
65	288	134	6	2	2	1	1e+10	1e+07	-150	
85	317	140	3	1	1	2	8.37831e+09	3.90167e+06	-150	
60	292	138	4	2	4	4	1e+10	1e+07	-150	
72	310	141	5	2	2	4	6.59107e+09	4.43136e+06	-150	
68	294	142	2	1	3	4	1e+10	1e+07	-150	
76	283	137	2	1	1	2	8.2635e+09	3.61616e+06	2802	
60	318	152	5	2	2	3	6.59336e+09	4.27862e+06	-150	
81	292	151	1	1	2	4	1e+10	1e+07	-150	
57	336	154	3	1	3	2	1e+10	1e+07	-150	
73	310	155	5	2	2	4	6.62217e+09	4.69408e+06	-150	
74	301	158	6	2	2	3	1e+10	1e+07	-150	
63	299	145	3	2	1	1	5.9116e+09	3.40082e+06	2802	
61	294	144	3	2	2	1	8.18768e+09	3.54435e+06	2802	
86	339	143	2	2	3	3	1e+10	1e+07	-150	
65	316	151	2	1	2	2	1e+10	1e+07	-150	
69	310	132	3	2	1	4	5.96456e+09	3.80361e+06	-150	
80	310	148	2	2	3	3	1e+10	1e+07	-150	
73	294	145	4	1	3	2	1e+10	1e+07	-150	
90	282	156	5	2	1	3	7.82657e+09	4.32174e+06	-150	
67	321	134	5	1	3	3	1e+10	1e+07	-150	
82	322	157	5	1	4	1	1e+10	1e+07	-150	
57	325	145	3	1	3	4	1e+10	1e+07	-150	
85	329	147	2	1	3	1	1e+10	1e+07	-150	
72	291	159	4	1	3	2	1e+10	1e+07	-150	
78	283	133	4	2	3	5	8.58042e+09	4.43413e+06	-150	
81	288	150	3	2	3	4	1e+10	1e+07	-150	
70	305	154	1	1	1	3	7.29681e+09	3.88626e+06	2802	
85	328	131	2	2	3	3	1e+10	1e+07	-150	
76	298	143	1	1	2	1	1e+10	1e+07	-150	
68	292	144	2	2	3	1	1e+10	1e+07	-150	
81	296	143	4	1	2	4	1e+10	1e+07	-150	
66	323	149	3	1	2	2	1e+10	1e+07	-150	
60	339	136	2	2	3	3	1e+10	1e+07	-150	
62	302	144	5	1	4	3	1e+10	1e+07	-150	
69	291	142	4	1	2	1	1e+10	1e+07	-150	
69	314	138	3	2	1	4	5.89116e+09	3.89159e+06	-150	
90	324	140	3	2	3	5	1e+10	1e+07	-150	
83	296	148	2	2	1	2	6.2278e+09	3.6806e+06	2802	
62	306	132	4	1	4	4	1e+10	1e+07	-150	
77	282	133	3	2	2	2	8.42284e+09	3.56593e+06	-150	
84	323	159	3	2	1	4	5.77962e+09	4.21948e+06	-150	



